name,image_url,description,abv,category_id,style_id,brewery_id
Duvel,https://brewerydb-images.s3.amazonaws.com/beer/c8VKLu/upload_mPvjPh-icon.png,"Duvel is a natural beer with a subtle bitterness, a refined flavour and a distinctive hop character. The unique brewing process, which takes about 90 days, guarantees a pure character, delicate effervescence and a pleasant sweet taste of alcohol. Apart from pure spring water, which is the main ingredient of beer, barley is the most important raw material. Barley must germinate for five days in the malt house, after which malt remains. The colour of the malt and as a consequence also of the beer is determined by the temperature. Duvel obtains its typical bitterness by adding various varieties of aromatic Slovenian and Czech hops. We use only exclusive hops that are renowned for their constant, outstanding quality. Duvel ferments for the first time in tanks at 20 to 26°C. The brewer uses his own culture for this. The original yeast strain, which Victor Moortgat himself selected in the 1920’s, originates from Scotland. After maturing in storage tanks in which the beer is cooled down to -2°C, the drink is ready for bottling. Thanks to the addition of extra sugars and yeast, the beer ferments again in the bottle. This occurs in warm cellars (24°C) and takes two weeks. Then the beer is moved to cold cellars, where it continues to mature and stabilise for a further six weeks. This extra long maturation period is unique and contributes to the refined flavour and pure taste of Duvel. A team of beer specialists checks the process daily by means of taste analyses. It is only after 90 days, when it has achieved its rich range of flavours, that Duvel may leave the brewery. Thanks to its surprisingly high alcohol content (8.5 %), enormous head, fine effervescence and silky smooth feel in the mouth, Duvel stands out clearly from other Belgian beers.",8.5,5,59,KSqbyz
Heineken Lager,https://brewerydb-images.s3.amazonaws.com/beer/eGtqKZ/upload_0y3ZZh-icon.png,"Heineken is brewed using the same method developed in 1873 and takes the better part of a month to brew - around twice as long as regular beer. Theat extended ""lagering"" gives Heineken its distinctive flavor and clarity.",5,8,97,robMSl
Kronenbourg,,Description,5,5,71,SZiCtP
Leffe Blonde,https://brewerydb-images.s3.amazonaws.com/beer/UukHF7/upload_16kiry-icon.png,Leffe Blond is an authentic blond abbey beer with a slight hint of bitterness to it.,6.6,5,61,5ac2lB
1664 Blanc,https://brewerydb-images.s3.amazonaws.com/beer/wTgdy9/upload_xxLG4Q-icon.png,"As a modern, fruity and refreshing beer, Kronenbourg 1664 Blanc appeals to consumers all over the world with its unique taste and appearance. Brewed with a hint of citrus and coriander spice, Blanc has an inimitable sweet and refreshing flavor that makes it special amongst all the other wheat beers (white beers). It appeals demanding quality seekers. Kronenbourg 1664 Blanc’s modern identity is perfectly expressed by its unique shiny blue bottle.",5,5,65,SZiCtP
Desperados Red,https://brewerydb-images.s3.amazonaws.com/beer/6JeMQW/upload_o4jZgy-icon.png,"Red is the beer that lifts you up to keep you in the mood for partying, an energetic combination of beer, tequila and guarana.",5.9,14,161,robMSl
Grimbergen Dubbel,https://brewerydb-images.s3.amazonaws.com/beer/8Qplg6/upload_PMt469-icon.png,"Double has undergone two fermentations, which gives this ale a chocolatey, toffee taste with a warming brandy-like finish.",6.5,5,58,9ynYAy
33 Export,https://brewerydb-images.s3.amazonaws.com/beer/bMIBZQ/upload_Dfh4e3-icon.png,,4.5,7,79,144UNV
8.6 Extreme,,,10.5,1,14,MfmAaT
Brahma Light,https://brewerydb-images.s3.amazonaws.com/beer/LhLP7o/upload_xaacCR-icon.png,,4,3,32,PYvBOs
Miller Lite,https://brewerydb-images.s3.amazonaws.com/beer/KJIjyd/upload_7aovil-icon.png,"Miller Lite is the great tasting, less filling beer that created the American light beer category in 1975. Triple-hops brewed for great pilsner taste, Miller Lite is the only beer to win four gold awards in the World Beer Cup for best American-Style light lager (2006, 2002, 1998 and 1996). It also won the gold medal for best American-style Lager or Light Lager at the 2010 Great American Beer Festival.",4.2,8,94,hGFVYy
Coors Banquet,https://brewerydb-images.s3.amazonaws.com/beer/vJCXKD/upload_RTwTup-icon.png,"Coors, nicknamed the ""Banquet Beer,"" was first introduced by Adolph Coors 1873. According to legend, thirsty miners in the late 1800s threw celebratory banquets with Coors as the honorary beer because of its superior craftsmanship. Prior to its nationwide distribution in 1981, Coors built a cult following, with presidents, movie stars and many others making special trips out west to buy it. Coors is brewed in the Rockies for a uniquely crisp, clean and drinkable taste.",5,8,94,avMkil
Skol,https://brewerydb-images.s3.amazonaws.com/beer/8W7Pxu/upload_0GaHB4-icon.png,"It’s easy to understand how Skol is Brazil's most popular beer. Brazilians love this clear, crisp pilsner that goes down smooth, with a perfect amount of carbonation and enough flavor to to give it a little bite. Skol is a clear, straw colored pilsner with a thin white head and aromas of grain. Whether it is an advertisement on the beach, or a vendor selling ice-cold cans on the streets, Skol is found everywhere in Brazil. Because it’s in such strong demand, you’ll find it served in most restaurants, bars, clubs and retail establishments throughout the country. Skol is easy to drink, making it a perfect beer to drink with meat dishes and spicy food. An interesting feature of the Skol bottle is a small logo on the label, which turns blue when the beer is at its perfect temperature to drink. When the logo turn blue it says ""Skol Gelada"" (Skol is cold), to tell you when the beer is cold enough to drink. The best Brazilian beer is now available in Australia, where it is gaining the popularity it enjoys at home. It can now be found at restaurants and premium bars in Melbourne, Sydney and Brisbane. DRINK IT ICE COLD !",4.7,10,106,aEtlIB
Corona Extra,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-icon.png,"Corona Extra is the number-one selling beer in Mexico and the leading export brand from Mexico. This pilsener type beer was first brewed in 1925 by Cervecería Modelo, located in Mexico City.",4.6,8,97,wadu38
Bud Light,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-icon.png,"Introduced nationally in 1982, Bud Light is brewed using a blend of domestic and imported hops as well as a combination of barley malts and rice.  It contains more malt and hops by ratio of ingredients than Budweiser, which gives the brew a distinctively clean and crisp taste.",4.2,8,94,BznahA
Snow Melt,,White Pyment made with Chardonnay grapes and mesquite honey aged in a new American oak barrel.,17,12,144,egejpN
Intergalactic,,"A fresh, crisp craft lager with bags of aromatic hop character and a clean finish",5,10,107,ZApGug
Blanche,,"Cardinal Blanche, the beer with fruity aromas is inspired by the Belgian beers Wit and is ideal for evenings with friends or refreshing refreshing. With an alcohol content of 4.8% and a very pleasant taste, the Cardinal Blanche is a beer for everyone. This fermented beer with clear reflections is crossed by a fine mist and embellished with a rich foam. Its scent awakens memories of citrus fruits and stone fruits. Its light malty body combines subtly spicy notes of clove with fruity touches of citrus and bananas for a sophisticated aroma. Its light finish and sweet bitterness are accompanied by refreshing acidity.",4.8,5,65,X7fpqb
Labatt Bleue Dry,,"Labatt Bleue Dry, the second addition to the Bleue family, is brewed with the same care and attention to detail as Labatt Bleue. Labatt Bleue Dry is mashed longer than regular beers to leave less carbohydrate (sugar) in the finished beer, giving a clean, crisp finish. Using select aromatic hops and a blend of the finest quality North American barley malts, this lager is clean-flavoured with no aftertaste.",6.1,7,75,wOiNxq
Westmalle Trappist Tripel,https://brewerydb-images.s3.amazonaws.com/beer/yuxw75/upload_C6JM2G-icon.png,"Was first brewed in 1934 and the recipe has not changed since 1956. It is made with pale candy sugar and has a very pale color produced from a mash of light pilsener malts. Styrian Goldings hops are used along with some German varieties and the classic Saaz pilsener hop. After a long secondary fermentation, the Tripel Westmalle is bottled with a dose of sugar and yeast. This beer holds up well in the bottle over time and seems to soften with age.",9.5,5,59,vLLvs6
Duvel,https://brewerydb-images.s3.amazonaws.com/beer/c8VKLu/upload_mPvjPh-icon.png,"Duvel is a natural beer with a subtle bitterness, a refined flavour and a distinctive hop character. The unique brewing process, which takes about 90 days, guarantees a pure character, delicate effervescence and a pleasant sweet taste of alcohol. Apart from pure spring water, which is the main ingredient of beer, barley is the most important raw material. Barley must germinate for five days in the malt house, after which malt remains. The colour of the malt and as a consequence also of the beer is determined by the temperature. Duvel obtains its typical bitterness by adding various varieties of aromatic Slovenian and Czech hops. We use only exclusive hops that are renowned for their constant, outstanding quality. Duvel ferments for the first time in tanks at 20 to 26°C. The brewer uses his own culture for this. The original yeast strain, which Victor Moortgat himself selected in the 1920’s, originates from Scotland. After maturing in storage tanks in which the beer is cooled down to -2°C, the drink is ready for bottling. Thanks to the addition of extra sugars and yeast, the beer ferments again in the bottle. This occurs in warm cellars (24°C) and takes two weeks. Then the beer is moved to cold cellars, where it continues to mature and stabilise for a further six weeks. This extra long maturation period is unique and contributes to the refined flavour and pure taste of Duvel. A team of beer specialists checks the process daily by means of taste analyses. It is only after 90 days, when it has achieved its rich range of flavours, that Duvel may leave the brewery. Thanks to its surprisingly high alcohol content (8.5 %), enormous head, fine effervescence and silky smooth feel in the mouth, Duvel stands out clearly from other Belgian beers.",8.5,5,59,KSqbyz
Hapkin,https://brewerydb-images.s3.amazonaws.com/beer/KYwpxv/upload_p6OhAz-icon.png,,8.5,5,61,9ynYAy
Corsendonk Agnus,,,7,5,61,2FmzR8
Triple Karmeliet,https://brewerydb-images.s3.amazonaws.com/beer/cBqXwG/upload_xjlJT7-icon.png,"Tripel Karmeliet is a very refined and complex golden-to-bronze brew with a fantastic creamy head. These characteristics derive not only from the grains used but also from restrained hopping with Styrians and the fruity nature (banana and vanilla) of the house yeast. Very refined and complex. Hints of vanilla mixed with citrus aromas. Tripel Karmeliet has not only the lightness and freshness of wheat, but also the creaminess of oats together with a spicy lemony almost quinine dryness.",8.4,5,59,FZPaw9
Brunehaut Bio White,https://brewerydb-images.s3.amazonaws.com/beer/6dDtBw/upload_g2firx-icon.png,"Look: It has a slightly stronger colour than white beers usually have, certainly pale but with the typical look of the house. Light, fine head with average maintenance. Delicate Nose: A lovely fresh nose, entirely in the yeast, even slightly floral. The freshness seems to be its main quality. In the mouth: The first supple flavour without being too bitter, almost round in the mouth. Plays the role of a light and refreshing beer. Average persistence and fresh in the mouth at the end. Although thirst-quenching, the drink still suits a spray of hop topped with a poached egg and a white beer mousseline (the same as is in your glass).",5,5,65,gOaK1T
Gueuze,,,,5,68,ncLN8G
Orval Oud,,Oud Orval is Orval that has been cellared for six months or more.,6.9,5,62,Rl8hib
Faro,https://brewerydb-images.s3.amazonaws.com/beer/Lrdsn9/upload_Fm9fll-icon.png,,4.5,5,66,zc8xpQ
Pauwel Kwak,https://brewerydb-images.s3.amazonaws.com/beer/FsjaTu/upload_MtucL6-icon.png,"Kwak is recognisable by its deep bright amber colour and a dense, creamy coloured head. The pale wood of the glass holder makes a pleasant contrast with the beer. You will smell a mellow, fruity and malty aroma with a slightly spicy character (coriander, hops). Additional earthy and very subtle aromas of banana and perhaps also a whiff of pineapple or mango in the background. Discover a very mellow, fruity attack, a nougat-like solidity, and a slightly spicy character with hints of liquorice passing into a warm finish that reminds you of caramelised banana. The bitterness always remains in the background but in the end emerges delicately.",8.4,5,61,FZPaw9
Trappistes Rochefort 8,https://brewerydb-images.s3.amazonaws.com/beer/BLTzoT/upload_mOuss0-icon.png,"Yellowish-brown colour, with a more pronounced aroma, more fruits and a slight amount of Demi-Sec. This variety constitutes the largest proportion of production.",9.2,5,64,KE3f43
Kasteel Bier Brune,,,11,5,57,GNz66x
Delirium Tremens,https://brewerydb-images.s3.amazonaws.com/beer/siPwY9/upload_8qzqQz-icon.png,"The particular character and the unique taste of  ""Delirium Tremens""result from the use of three different kinds of yeast. Its very original packing and the colourful label contribute to its success.",8.5,5,63,8eyXN7
Ambrée,https://brewerydb-images.s3.amazonaws.com/beer/7thgPR/upload_3G06zi-icon.png,"This ale is copper-colored, soft, fruity, and caramelized. There is a subtle aroma of roasted malt with a slight bitterness. It is characterized by a fine and dense foam.",6.6,5,71,qn8lhF
Gouden Carolus Carolus D'Or,,,8,5,64,WLFjDg
Rodenbach Grand Cru,https://brewerydb-images.s3.amazonaws.com/beer/sb1T5g/upload_OBMcvY-icon.png,Rodenbach Grand Cru is a unique reddish-brown South-Flemish reqional beer of mixed fermentation. Grand Cru is matured for two years in oak vats according to an entirely natural process just like wine.,6,5,57,qZJOHj
Gulden Draak,https://brewerydb-images.s3.amazonaws.com/beer/G5N8qx/upload_fTl2zY-icon.png,"Gulden Draak is a beer in a class of its own. It is a beer that is rich and glowing, so full of its very own characteristic flavour, that it reminds some who try it of chocolate and others of coffee. In 1998 Gulden Draak was crowned ""best beer in the world"" by the American Tasting Institute! This beer has won many other awards too. Gulden Draak is named for the golden statue at the top of the clock tower of the Belgian city of Gent. The statue was originally given to the city of Constantinople by the Norse King Sigrid Magnusson in 1111, during the crusades; hence the form of a Viking ship that the beast was given. During a later crusade, Boudewijn IX (Count of Flanders and Emperor of Constantinople) took it back to Flanders with him because it was so beautiful. In 1382, the cities of Brugge and Gent did battle for the statue. Gent won.",10.5,5,70,shhuGO
Troubadour Westkust,,,9.2,3,41,ODuLYY
St Feuillien De Noel,,,9,5,72,JqCctT
Apocalypse Nitro,https://brewerydb-images.s3.amazonaws.com/beer/SlpP8W/upload_MwphBi-icon.png,,,3,30,snQlvg
Agent Piña,,,7,11,136,8LP0bh
Cognac Barrel  Aged Moloko,,Moloko barrel-aged in cognac barrels.,10,1,20,iodDki
Mongy Triple,,,8,5,59,6l7R5j
Ter Dolen Armand,https://brewerydb-images.s3.amazonaws.com/beer/VtlMrr/upload_uiHDye-icon.png,"This beer was designed to honour  the co-founder ""Armand DESPLENTER"" of castle brewery De Dool. Thanks to his roots in the brewery world De Dool was founded. The beautiful beer therefore bears his name“ARMAND"" TER DOLEN is a particularly refreshing beer. Its very fruity aroma is the result of the dry-hopping with the American type of hop Cascade. At the first sniff  of the aromas of this beer you recognize a beautiful fruity bouquet of citrus and grapefruit. While tasting  the beer you will recognize this fruitiness of the hop  and discover a particularly pleasant hop  aftertaste  without an exaggerated bitterness.The beer was deeply fermented so that it results in a digestible and thirst-quenching drink. In order to preserve as many hop aromas  as possible the beer has not been filtered.  So it can be served  as a nice slightly cloudy beer with a bright white head in a matching beer glass.",7,5,70,pZ2cYg
Cuvée des Jacobins Prestige,,"Prestige is a blend of 24 month-old foederbier, spontaneously fermented in and blended from foeders IX, XI and XIV. It has a deeper brettanomyces character and an overall soft and fruity character. Sourness is here in plenty, just like the Cuvée Rouge, but the balance is finer and tipped more toward stone fruit.",7.6,5,57,toA2ip
IPA!,,,7,3,30,zBAxbX
Blonde,,"Our flagship Blonde Ale is simple, clean, crisp, and easy to drink yet full of flavor and sweet aromas. Bread-like maltiness shines while a light dose of Nugget and Citra hops cut through with fruity citrus on the finish. The finish is clean and dry which makes you want to go pint after pint with this one.",5.4,3,36,i8sGbt
Red Fox,https://brewerydb-images.s3.amazonaws.com/beer/296YGQ/upload_4G5bhQ-icon.png,,,3,32,X0l98q
Abby’s Cure,,"This mild and drinkable beer is perfect for the warm weather, with a nice clean finish capped by ester notes generated by the yeast.",9.6,5,59,u56OBe
La Trouffette Rousse,,,7.5,5,70,UROcwI
Nelson Sauvin,,"Yes! It's finally happened. Man, we love this hop. Tons of unique flavors and aromas (now, we've never had a gooseberry, but we're SURE this hop is packed with gooseberry aromas). This Imperial IPA was brewed with single hop additions of New Zealand Nelson Sauvin, and whoa, it's real good.",10,3,31,fz3g3i
Lancelot Honey Wine,,,12,12,141,ZaoPwX
