name;address;photo;opening_time;happy_hours;description;beers
Le Truc Mush;5 Passage Thiéré, 75011 Paris;https://s3-eu-west-1.amazonaws.com/privateaser-media/etab_photos/53/1500x750/5349.jpg;18:00–02:00;18 heures à 22 heure;Une déco psychédélique originale pour une ambiance festive avec blind tests, karaoké, concerts et DJs.;"[""TRUCMUSH"", ""GRIMBERGEN"", ""CHOUFFE"", ""VEDETT BLANCHE"", ""GUINNESS""]"
La Folie en Tête  ;33 Rue de la Butte aux Cailles, 75013 Paris;https://media.timeout.com/images/103569457/1372/772/image.jpg;17:00–02:00;17H/20H;Bar à l'ambiance décontractée et à la déco hétéroclite agrémentée d'instruments de musique pendus aux murs.;"[""CAMPUS blonde"", ""ARTEVELDE rousse"", ""BLANCHE DES NEIGES"", ""Abbaye de ST. IDESBALD""]"
Le Limousin  ;42 Rue Cantagrel, 75013 Paris;https://ugc.zenchef.com/3/4/6/1/9/4/1/4/1/3/8/1462869758_407/c1760ffbd5ab1dc3c790236ea19bd83d.page_slider_8.jpg;07:00–00:00;;Ce bar-brasserie cosy avec terrasse propose une carte classique et une restauration légère à l'ardoise.;"[""Kronenbourg"", ""1664"", ""Chouffe"", ""Grimbergen blanche""]"
FAT. BAR;8 Rue de Beauce, 75003 Paris;http://static1.villaschweppes.com/articles/2/41/12/2/@/294987-le-fat-8-rue-de-beauce-75003-paris-p-300x300-1.jpg;18:00–00:00;;En plein haut marais , à deux sneakers de la rue de Bretagne et du Carreau du Temple , FAT est un Q.G de potes. Un Cocktail Bar décontracté , accessible , autour de la culture urbaine et de la scène musicale Hip Hop.;"[""Tigre Bock "", ""Grimbergen blanche"", ""Brooklyn Lager "", ""Corona"", ""Cubanisto""]"
copperbay;5 Rue Bouchardon, 75010 Paris;http://www.lefigaro.fr/medias/2015/02/24/PHO485be71a-b753-11e4-b996-5f8d6f776e7b-640x230.jpg;18:00–02:00;;Bar aux cocktails créatifs subtilement décoré sur le thème marin et aménagé de façon spacieuse, avec snacking.;"[""ASTROBLONDE"", ""NOVA NOIRE"", ""ROQUETTE BLANCHE""]"
Le Bar des Prés;25 Rue du Dragon, 75006 Paris;https://lefooding.com/media/W1siZiIsIjIwMTcvMDEvMTYvMjJfMjRfMDhfMjk1X3Jlc3RhdXJhbnRfYmFyX2Rlc19wcmVfc19wYXJpcy5qcGciXSxbInAiLCJ0aHVtYiIsIjY3Mng2MDAiXV0/restaurant-bar-des-pre%CC%81s-paris.jpg?sha=39c51ceb;19:00–23:00;;Dès la façade, Le Bar des Prés évoque les anciennes échoppes de quartier du Saint-Germain de la Belle Epoque.;"[""Cyril Lignac x Emmanuel Rey ""]"
Le Gob;58 Avenue des Gobelins, 75013 Paris;http://www.aperorestodisco.com/DOCS/photos/4888/10986900_10155166551295063_7174777275392551312_n.jpg;13:00–02:00;;;"[""LICORNE LÉGENDE"", ""BOLÉE DES CELTES\r\n"", ""KASTEEL HOPPY"", ""ABBAYE DE FLOREFFE"", ""BLANCHE DE BRUXELLES"", ""PAUWEL KWAK\r\n"", ""FILOU""]"
Académie de la bière  ;88Bis Boulevard de Port-Royal, 75005 Paris;https://media-cdn.tripadvisor.com/media/photo-s/06/b0/6d/7e/academie-de-la-biere.jpg;10:00–02:00;;Datant des années 1960, ce bar avec terrasse propose des plats de brasserie, des moules et des bières.;"[""VENDESTTA"", ""CUVEE DES TROLLS"", ""ST BERNARDUS ABT 12"", ""KWAK"", ""LA CHOUFFE"", ""MAREDSOUS 8 BRUNE"", ""ANGELUS"", ""PIETRA"", ""BIERE DU CH'TI"", ""DOUGLAS"", ""GORDON FINEST""]"
Le Supercoin ;3 Rue Baudelique, 75018 Paris;http://supercoin.net/wp-content/uploads/2013/04/IMG_1274-540x405.jpg;17:00–02:00;;Ce petit bar simple propose des bières artisanales, de la musique pop rock, des quizz et des matches de foot.;"[""Kout 10 "", "" Momarillo "", ""Salamandra"", ""Berliner"", ""Matinale Breakfast Stout"", ""Pumpkin Ale""]"
Les Berthom;35 Boulevard Voltaire, 75011;https://www.lesberthom.com/wp-content/uploads/2013/07/bar-a-biere-soiree1.jpg;17:00–01:00;17 h à 20 h.;;"[""METS"", ""CHOUFFE"", ""KRIEK BRUT LIEFMANS"", ""MAREDSOUS 6"", ""PALE SOUR LIEFMANS"", ""VEDETT EXTRA WHITE"", ""VIRMALISED"", ""ALL THE LEAVES ARE BROWN"", ""ARDENNE BELLE D’ETE"", ""CELEBRATOR"", ""CAROLUS TRIPLE"", ""CELEBRATOR"", ""ÖÖ"", ""TRIPLE D’ANVERS""]"
A la bière comme à la bière  ;20 Rue Custine, 75018 Paris;https://media-cdn.tripadvisor.com/media/photo-s/04/39/59/70/a-la-biere-comme-a-la.jpg;15:00–22:30;;Le lieu;"[""Sweaty Sheep Shit Shenanigans"", ""Sori Not Sorry"", ""Double Roast Brandmeester's Sumatra"", ""Double Roast Brandmeester's Ethiopia "", ""Smeerolie "", ""Motorolie"", ""Loris"", ""La Adelita"", ""Last Minute Stout"", ""Shoutao"", ""Yellow Belly"", ""I Love You With My Stout"", ""Russian Imperial Stout"", ""Double IPA""]"
Au Trappiste;4 Rue Saint-Denis, 75001 Paris;https://u.tfstatic.com/restaurant_photos/377/76377/169/612/au-trappiste-salle-71955.jpg;08:00–02:00;;Dans une vaste salle au style rétro, ce bar à bières propose des formules moules-frites et des bières variées.;"[""Achel Blonde"", ""Achel Brune"", ""Angelo Poretti 4 Luppoli"", ""Barbar au miel"", ""belzebuth"", ""biere du boucanier"", ""biere du demon"", ""Blanche de Bruxelles"", ""Brewdog Punk India Pale Ale"", ""Brigand"", ""Chimay Grande Réserve"", ""Cuvée des Trolls"", ""Duvel""]"
Les Caves Alliées;44 Rue Grégoire de Tours, 75006 Paris;http://lescavesalliees.fr/wp-content/gallery/lancement/img_1541.jpg;17:00–02:00;;Ce bar aux pierres apparentes propose des jeux de rôle, concerts et ludothèque dans une ambiance médiévale.;"[""Griffon"", ""L’orignal\r\n"", ""L’orignal"", ""Monk’s elexir"", ""Stella artois"", ""Leffe"", ""Carolus tripel"", ""Schlenkerla"", ""Barbe bleue"", ""Karmeliet tripel"", ""Pécheresse Lindermans"", ""Bière Lancelot"", ""Blanche de Namur"", ""Chimay bleue et rouge"", ""Bière du Boucanier"", ""Gulden Draak"", ""Brigand"", ""Guillotine"", ""Belzébuth"", ""Gueuze lindermans""]"
Le Mayflower  ;49 Rue Descartes, 75005 Paris;http://www.mayflower.fr/assets/images/mayflower-bleu.jpg;16:30–01:50;;Ce pub propose des bières belges dans une salle chaleureuse décorée de bois sombre à l'atmosphère tamisée.;"[""St-Feuillien"", ""Blanche de Delirium"", ""Kriek"", ""Chouffe"", ""Chimay Triple"", ""Golden Draak"", ""Tripel Karmeliet"", ""Maredsous"", ""Maredsous Triple"", ""Kwak"", ""Cuvée des Trolls"", ""Trappiste de Rochefort"", ""Duvel"", ""Chimay Bleue""]"
